"trainer/global_step","exp_lora - metrics/val_iou_all","exp_lora - metrics/val_iou_all__MIN","exp_lora - metrics/val_iou_all__MAX","exp_lora - _step","exp_lora - _step__MIN","exp_lora - _step__MAX","exp_blocks_8_11 - metrics/val_iou_all","exp_blocks_8_11 - metrics/val_iou_all__MIN","exp_blocks_8_11 - metrics/val_iou_all__MAX","exp_blocks_8_11 - _step","exp_blocks_8_11 - _step__MIN","exp_blocks_8_11 - _step__MAX","exp_head_only - metrics/val_iou_all","exp_head_only - metrics/val_iou_all__MIN","exp_head_only - metrics/val_iou_all__MAX","exp_head_only - _step","exp_head_only - _step__MIN","exp_head_only - _step__MAX"
"2974","0.6792800426483154","0.6792800426483154","0.6792800426483154","67","67","67","0.68156898021698","0.68156898021698","0.68156898021698","67","67","67","0.6631891131401062","0.6631891131401062","0.6631891131401062","67","67","67"
"5949","0.7027217745780945","0.7027217745780945","0.7027217745780945","132","132","132","0.7221337556838989","0.7221337556838989","0.7221337556838989","132","132","132","0.6999503970146179","0.6999503970146179","0.6999503970146179","132","132","132"
"8924","0.7129531502723694","0.7129531502723694","0.7129531502723694","196","196","196","0.7332016229629517","0.7332016229629517","0.7332016229629517","263","263","263","0.6943555474281311","0.6943555474281311","0.6943555474281311","196","196","196"
"11899","0.7173815369606018","0.7173815369606018","0.7173815369606018","261","261","261","0.764035165309906","0.764035165309906","0.764035165309906","328","328","328","0.7133733630180359","0.7133733630180359","0.7133733630180359","261","261","261"
"14874","0.7451816201210022","0.7451816201210022","0.7451816201210022","325","325","325","0.7481017708778381","0.7481017708778381","0.7481017708778381","392","392","392","0.7196137309074402","0.7196137309074402","0.7196137309074402","325","325","325"
"17849","0.7510013580322266","0.7510013580322266","0.7510013580322266","390","390","390","0.7502201795578003","0.7502201795578003","0.7502201795578003","457","457","457","0.7275402545928955","0.7275402545928955","0.7275402545928955","390","390","390"
"20824","0.7515641450881958","0.7515641450881958","0.7515641450881958","454","454","454","0.7393614053726196","0.7393614053726196","0.7393614053726196","521","521","521","0.7247022390365601","0.7247022390365601","0.7247022390365601","454","454","454"
"23799","0.7553850412368774","0.7553850412368774","0.7553850412368774","519","519","519","0.7430581450462341","0.7430581450462341","0.7430581450462341","586","586","586","0.7288292646408081","0.7288292646408081","0.7288292646408081","519","519","519"
